Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
46,Entrada en largo,2025-11-28 14:15,Scripted Long,58.95,1,58950,610,1.03,1020,1.73,-680,-1.15,7360,73.60
47,Salida en largo,2025-12-03 12:30,Scripted Exit All,59.38,1,58960,420,0.71,680,1.15,-680,-1.15,7780,77.80
47,Entrada en largo,2025-12-02 08:45,Scripted Long,58.96,1,58960,420,0.71,680,1.15,-680,-1.15,7780,77.80
48,Salida en corto,2025-12-10 04:45,Scripted Exit All,58.27,1,59390,1120,1.89,1270,2.14,-1110,-1.87,8900,89.00
48,Entrada en corto,2025-12-04 08:15,Scripted Short,59.39,1,59390,1120,1.89,1270,2.14,-1110,-1.87,8900,89.00
49,Salida en corto,2025-12-12 04:30,Scripted Long,57.77,1,57790,20,0.03,130,0.22,-400,-0.69,8920,89.20
49,Entrada en corto,2025-12-11 14:45,Scripted Short,57.79,1,57790,20,0.03,130,0.22,-400,-0.69,8920,89.20
50,Salida en largo,2025-12-16 19:15,Scripted Short,55.83,1,57770,-1940,-3.36,30,0.05,-2790,-4.83,6980,69.80
50,Entrada en largo,2025-12-12 04:30,Scripted Long,57.77,1,57770,-1940,-3.36,30,0.05,-2790,-4.83,6980,69.80
51,Salida en corto,2025-12-17 09:15,Scripted Long,55.88,1,55830,-50,-0.09,340,0.61,-750,-1.34,6930,69.30
51,Entrada en corto,2025-12-16 19:15,Scripted Short,55.83,1,55830,-50,-0.09,340,0.61,-750,-1.34,6930,69.30
52,Salida en largo,2025-12-17 15:15,Scripted Exit All,56.2,1,55880,320,0.57,330,0.59,-300,-0.54,7250,72.50
52,Entrada en largo,2025-12-17 09:15,Scripted Long,55.88,1,55880,320,0.57,330,0.59,-300,-0.54,7250,72.50
53,Salida en largo,2025-12-19 03:30,Scripted Exit All,55.94,1,55680,260,0.47,310,0.56,-20,-0.04,7510,75.10
53,Entrada en largo,2025-12-19 03:00,Scripted Long,55.68,1,55680,260,0.47,310,0.56,-20,-0.04,7510,75.10
54,Salida en largo,2025-12-19 13:45,Scripted Short,56.69,1,55680,1010,1.81,1040,1.87,-70,-0.13,8520,85.20
54,Entrada en largo,2025-12-19 04:45,Scripted Long,55.68,1,55680,1010,1.81,1040,1.87,-70,-0.13,8520,85.20
55,Salida en corto,2025-12-23 23:30,Scripted Long,58.24,1,56690,-1550,-2.73,280,0.49,-1930,-3.40,6970,69.70
