Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
22,Salida en largo,2026-04-01 11:05,Scripted Exit All,1.16605,1,145656.25,100,0.07,168.75,0.12,-193.75,-0.13,1087.5,10.88,28
22,Entrada en largo,2026-04-01 08:45,Scripted Long,1.16525,1,145656.25,100,0.07,168.75,0.12,-193.75,-0.13,1087.5,10.88,28
23,Salida en largo,2026-04-02 05:10,Scripted Short,1.15615,1,145718.75,-1200,-0.82,56.25,0.04,-1312.5,-0.90,-112.5,-1.12,182
23,Entrada en largo,2026-04-01 13:00,Scripted Long,1.16575,1,145718.75,-1200,-0.82,56.25,0.04,-1312.5,-0.90,-112.5,-1.12,182
24,Salida en corto,2026-04-02 06:25,Scripted Exit All,1.15535,1,144518.75,100,0.07,137.5,0.10,-100,-0.07,-12.5,-0.12,15
24,Entrada en corto,2026-04-02 05:10,Scripted Short,1.15615,1,144518.75,100,0.07,137.5,0.10,-100,-0.07,-12.5,-0.12,15
25,Salida en largo,2026-04-02 20:35,Scripted Exit All,1.15815,1,144725,43.75,0.03,62.5,0.04,-12.5,-0.01,31.25,0.31,27
25,Entrada en largo,2026-04-02 18:20,Scripted Long,1.1578,1,144725,43.75,0.03,62.5,0.04,-12.5,-0.01,31.25,0.31,27
26,Salida en largo,2026-04-06 03:45,Scripted Exit All,1.15895,1,144781.25,87.5,0.06,106.25,0.07,-500,-0.35,118.75,1.19,195
26,Entrada en largo,2026-04-03 04:45,Scripted Long,1.15825,1,144781.25,87.5,0.06,106.25,0.07,-500,-0.35,118.75,1.19,195
27,Salida en largo,2026-04-07 14:25,Scripted Exit All,1.16185,1,145168.75,62.5,0.04,75,0.05,-131.25,-0.09,181.25,1.81,28
27,Entrada en largo,2026-04-07 12:05,Scripted Long,1.16135,1,145168.75,62.5,0.04,75,0.05,-131.25,-0.09,181.25,1.81,28
28,Salida en largo,2026-04-07 16:20,Scripted Exit All,1.164,1,145300,200,0.14,218.75,0.15,-62.5,-0.04,381.25,3.81,12
28,Entrada en largo,2026-04-07 15:20,Scripted Long,1.1624,1,145300,200,0.14,218.75,0.15,-62.5,-0.04,381.25,3.81,12
29,Salida en largo,2026-04-08 07:35,Scripted Exit All,1.17425,1,146537.5,243.75,0.17,318.75,0.22,-206.25,-0.14,625,6.25,74
29,Entrada en largo,2026-04-08 01:25,Scripted Long,1.1723,1,146537.5,243.75,0.17,318.75,0.22,-206.25,-0.14,625,6.25,74
30,Salida en largo,2026-04-09 12:25,Scripted Exit All,1.17485,1,146606.25,250,0.17,268.75,0.18,0,0.00,875,8.75,13
30,Entrada en largo,2026-04-09 11:20,Scripted Long,1.17285,1,146606.25,250,0.17,268.75,0.18,0,0.00,875,8.75,13
31,Salida en largo,2026-04-10 10:05,Scripted Exit All,1.1767,1,146950,137.5,0.09,187.5,0.13,-106.25,-0.07,1012.5,10.13,18
31,Entrada en largo,2026-04-10 08:35,Scripted Long,1.1756,1,146950,137.5,0.09,187.5,0.13,-106.25,-0.07,1012.5,10.13,18
32,Salida en largo,2026-04-13 09:55,Scripted Exit All,1.1742,1,146637.5,137.5,0.09,200,0.14,-200,-0.14,1150,11.50,77
32,Entrada en largo,2026-04-13 03:30,Scripted Long,1.1731,1,146637.5,137.5,0.09,200,0.14,-200,-0.14,1150,11.50,77
33,Salida en largo,2026-04-13 13:20,Scripted Exit All,1.17695,1,146881.25,237.5,0.16,287.5,0.20,-6.25,0.00,1387.5,13.88,9
33,Entrada en largo,2026-04-13 12:35,Scripted Long,1.17505,1,146881.25,237.5,0.16,287.5,0.20,-6.25,0.00,1387.5,13.88,9
34,Salida en largo,2026-04-13 23:55,Scripted Exit All,1.1802,1,147468.75,56.25,0.04,62.5,0.04,-87.5,-0.06,1443.75,14.44,70
34,Entrada en largo,2026-04-13 18:05,Scripted Long,1.17975,1,147468.75,56.25,0.04,62.5,0.04,-87.5,-0.06,1443.75,14.44,70
35,Salida en largo,2026-04-14 07:00,Scripted Exit All,1.18305,1,147787.5,93.75,0.06,131.25,0.09,-87.5,-0.06,1537.5,15.38,23
35,Entrada en largo,2026-04-14 05:05,Scripted Long,1.1823,1,147787.5,93.75,0.06,131.25,0.09,-87.5,-0.06,1537.5,15.38,23
36,Salida en largo,2026-04-14 10:55,Scripted Exit All,1.1844,1,147956.25,93.75,0.06,93.75,0.06,-112.5,-0.08,1631.25,16.31,25
36,Entrada en largo,2026-04-14 08:50,Scripted Long,1.18365,1,147956.25,93.75,0.06,93.75,0.06,-112.5,-0.08,1631.25,16.31,25
37,Salida en largo,2026-04-17 08:35,Scripted Exit All,1.18405,1,147893.75,112.5,0.08,312.5,0.21,-406.25,-0.27,1743.75,17.44,709
37,Entrada en largo,2026-04-14 19:30,Scripted Long,1.18315,1,147893.75,112.5,0.08,312.5,0.21,-406.25,-0.27,1743.75,17.44,709
38,Salida en largo,2026-04-20 07:40,Scripted Exit All,1.1803,1,147400,137.5,0.09,168.75,0.11,-175,-0.12,1881.25,18.81,96
38,Entrada en largo,2026-04-19 23:40,Scripted Long,1.1792,1,147400,137.5,0.09,168.75,0.11,-175,-0.12,1881.25,18.81,96
39,Salida en largo,2026-04-21 15:40,Scripted Short,1.17655,1,147487.5,-418.75,-0.28,293.75,0.20,-618.75,-0.42,1462.5,14.63,353
39,Entrada en largo,2026-04-20 09:15,Scripted Long,1.1799,1,147487.5,-418.75,-0.28,293.75,0.20,-618.75,-0.42,1462.5,14.63,353
40,Salida en corto,2026-04-22 04:00,Scripted Long,1.17855,1,147068.75,-250,-0.17,218.75,0.15,-337.5,-0.23,1212.5,12.13,136
40,Entrada en corto,2026-04-21 15:40,Scripted Short,1.17655,1,147068.75,-250,-0.17,218.75,0.15,-337.5,-0.23,1212.5,12.13,136
41,Salida en largo,2026-04-23 09:15,Scripted Short,1.1713,1,147318.75,-906.25,-0.62,43.75,0.03,-981.25,-0.67,306.25,3.06,339
41,Entrada en largo,2026-04-22 04:00,Scripted Long,1.17855,1,147318.75,-906.25,-0.62,43.75,0.03,-981.25,-0.67,306.25,3.06,339
42,Salida en corto,2026-04-23 23:10,Scripted Exit All,1.17045,1,146412.5,106.25,0.07,193.75,0.13,-400,-0.27,412.5,4.13,155
42,Entrada en corto,2026-04-23 09:15,Scripted Short,1.1713,1,146412.5,106.25,0.07,193.75,0.13,-400,-0.27,412.5,4.13,155
43,Salida en largo,2026-04-24 12:05,Scripted Exit All,1.1746,1,146718.75,106.25,0.07,131.25,0.09,-106.25,-0.07,518.75,5.19,23
43,Entrada en largo,2026-04-24 10:10,Scripted Long,1.17375,1,146718.75,106.25,0.07,131.25,0.09,-106.25,-0.07,518.75,5.19,23
44,Salida en largo,2026-04-26 22:40,Scripted Exit All,1.1755,1,146850,87.5,0.06,93.75,0.06,-218.75,-0.15,606.25,6.06,77
44,Entrada en largo,2026-04-24 15:15,Scripted Long,1.1748,1,146850,87.5,0.06,93.75,0.06,-218.75,-0.15,606.25,6.06,77
45,Salida en largo,2026-04-27 20:30,Scripted Short,1.17465,1,147175,-343.75,-0.23,106.25,0.07,-362.5,-0.25,262.5,2.63,151
45,Entrada en largo,2026-04-27 06:55,Scripted Long,1.1774,1,147175,-343.75,-0.23,106.25,0.07,-362.5,-0.25,262.5,2.63,151
