Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
7,Salida en largo,2026-03-24 16:10,Scripted Short,0.006333,1,79350,-187.5,-0.24,43.75,0.06,-275,-0.35,-293.75,-2.94,122
7,Entrada en largo,2026-03-24 06:00,Scripted Long,0.006348,1,79350,-187.5,-0.24,43.75,0.06,-275,-0.35,-293.75,-2.94,122
8,Salida en corto,2026-03-25 02:30,Scripted Exit All,0.006332,1,79162.5,12.5,0.02,25,0.03,-325,-0.41,-281.25,-2.81,112
8,Entrada en corto,2026-03-24 16:10,Scripted Short,0.006333,1,79162.5,12.5,0.02,25,0.03,-325,-0.41,-281.25,-2.81,112
9,Salida en corto,2026-03-26 07:50,Scripted Exit All,0.0063065,1,78925,93.75,0.12,100,0.13,-75,-0.10,-187.5,-1.87,76
9,Entrada en corto,2026-03-26 01:30,Scripted Short,0.006314,1,78925,93.75,0.12,100,0.13,-75,-0.10,-187.5,-1.87,76
10,Salida en largo,2026-04-01 02:45,Scripted Exit All,0.0063545,1,79275,156.25,0.20,175,0.22,-137.5,-0.17,-31.25,-0.31,43
10,Entrada en largo,2026-03-31 23:10,Scripted Long,0.006342,1,79275,156.25,0.20,175,0.22,-137.5,-0.17,-31.25,-0.31,43
11,Salida en corto,2026-04-06 11:00,Scripted Exit All,0.006298,1,78762.5,37.5,0.05,137.5,0.17,-168.75,-0.21,6.25,0.06,312
11,Entrada en corto,2026-04-03 02:00,Scripted Short,0.006301,1,78762.5,37.5,0.05,137.5,0.17,-168.75,-0.21,6.25,0.06,312
12,Salida en corto,2026-04-07 07:10,Scripted Exit All,0.006294,1,78700,25,0.03,62.5,0.08,-156.25,-0.20,31.25,0.31,71
12,Entrada en corto,2026-04-07 01:15,Scripted Short,0.006296,1,78700,25,0.03,62.5,0.08,-156.25,-0.20,31.25,0.31,71
13,Salida en corto,2026-04-12 18:05,Scripted Exit All,0.0062925,1,78687.5,31.25,0.04,62.5,0.08,-937.5,-1.19,62.5,0.63,856
13,Entrada en corto,2026-04-07 14:45,Scripted Short,0.006295,1,78687.5,31.25,0.04,62.5,0.08,-937.5,-1.19,62.5,0.63,856
14,Salida en corto,2026-04-13 08:00,Scripted Exit All,0.0062895,1,78675,56.25,0.07,56.25,0.07,-81.25,-0.10,118.75,1.19,91
14,Entrada en corto,2026-04-13 00:25,Scripted Short,0.006294,1,78675,56.25,0.07,56.25,0.07,-81.25,-0.10,118.75,1.19,91
15,Salida en corto,2026-04-22 16:05,Scripted Exit All,0.006296,1,78712.5,12.5,0.02,68.75,0.09,-987.5,-1.25,131.25,1.31,1991
15,Entrada en corto,2026-04-13 11:10,Scripted Short,0.006297,1,78712.5,12.5,0.02,68.75,0.09,-987.5,-1.25,131.25,1.31,1991
16,Salida en corto,2026-04-23 13:10,Scripted Exit All,0.0062895,1,78662.5,43.75,0.06,43.75,0.06,-143.75,-0.18,175,1.75,47
16,Entrada en corto,2026-04-23 09:15,Scripted Short,0.006293,1,78662.5,43.75,0.06,43.75,0.06,-143.75,-0.18,175,1.75,47
17,Salida en corto,2026-04-24 08:55,Scripted Exit All,0.0062925,1,78718.75,62.5,0.08,81.25,0.10,0,0.00,237.5,2.38,5
17,Entrada en corto,2026-04-24 08:30,Scripted Short,0.0062975,1,78718.75,62.5,0.08,81.25,0.10,0,0.00,237.5,2.38,5
18,Salida en corto,2026-04-27 02:25,Scripted Exit All,0.006298,1,78762.5,37.5,0.05,125,0.16,-106.25,-0.13,275,2.75,144
18,Entrada en corto,2026-04-24 13:25,Scripted Short,0.006301,1,78762.5,37.5,0.05,125,0.16,-106.25,-0.13,275,2.75,144
19,Salida en corto,2026-04-27 12:30,Scripted Exit All,0.006302,1,78856.25,81.25,0.10,93.75,0.12,-31.25,-0.04,356.25,3.56,81
19,Entrada en corto,2026-04-27 05:45,Scripted Short,0.0063085,1,78856.25,81.25,0.10,93.75,0.12,-31.25,-0.04,356.25,3.56,81
20,Salida en corto,2026-04-28 11:00,Scripted Exit All,0.006286,1,78643.75,68.75,0.09,87.5,0.11,-12.5,-0.02,425,4.25,9
20,Entrada en corto,2026-04-28 10:15,Scripted Short,0.0062915,1,78643.75,68.75,0.09,87.5,0.11,-12.5,-0.02,425,4.25,9
21,Salida en corto,2026-04-29 22:30,Scripted Exit All,0.0062595,1,78306.25,62.5,0.08,68.75,0.09,-12.5,-0.02,487.5,4.88,21
21,Entrada en corto,2026-04-29 20:45,Scripted Short,0.0062645,1,78306.25,62.5,0.08,68.75,0.09,-12.5,-0.02,487.5,4.88,21
22,Salida en corto,2026-05-01 05:30,Scripted Exit All,0.0064025,1,80193.75,162.5,0.20,162.5,0.20,-68.75,-0.09,650,6.50,28
22,Entrada en corto,2026-05-01 03:10,Scripted Short,0.0064155,1,80193.75,162.5,0.20,162.5,0.20,-68.75,-0.09,650,6.50,28
23,Salida en corto,2026-05-05 05:00,Scripted Exit All,0.006379,1,79768.75,31.25,0.04,31.25,0.04,-81.25,-0.10,681.25,6.81,18
23,Entrada en corto,2026-05-05 03:30,Scripted Short,0.0063815,1,79768.75,31.25,0.04,31.25,0.04,-81.25,-0.10,681.25,6.81,18
