Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
74,Salida en corto,2026-06-08 02:35,Scripted Exit All,1.15235,1,144050,6.25,0.00,143.75,0.10,-243.75,-0.17,3468.75,34.69,113
74,Entrada en corto,2026-06-05 16:10,Scripted Short,1.1524,1,144050,6.25,0.00,143.75,0.10,-243.75,-0.17,3468.75,34.69,113
75,Salida en largo,2026-06-09 00:50,Scripted Exit All,1.15515,1,144281.25,112.5,0.08,112.5,0.08,-6.25,0.00,3581.25,35.81,8
75,Entrada en largo,2026-06-09 00:10,Scripted Long,1.15425,1,144281.25,112.5,0.08,112.5,0.08,-6.25,0.00,3581.25,35.81,8
76,Salida en largo,2026-06-09 05:50,Scripted Exit All,1.15635,1,144412.5,131.25,0.09,137.5,0.10,-18.75,-0.01,3712.5,37.13,11
76,Entrada en largo,2026-06-09 04:55,Scripted Long,1.1553,1,144412.5,131.25,0.09,137.5,0.10,-18.75,-0.01,3712.5,37.13,11
77,Salida en corto,2026-06-10 03:20,Scripted Long,1.15605,1,144218.75,-287.5,-0.20,18.75,0.01,-293.75,-0.20,3425,34.25,79
77,Entrada en corto,2026-06-09 20:45,Scripted Short,1.15375,1,144218.75,-287.5,-0.20,18.75,0.01,-293.75,-0.20,3425,34.25,79
78,Salida en largo,2026-06-10 09:50,Scripted Exit All,1.1575,1,144506.25,181.25,0.13,193.75,0.13,-281.25,-0.19,3606.25,36.06,78
78,Entrada en largo,2026-06-10 03:20,Scripted Long,1.15605,1,144506.25,181.25,0.13,193.75,0.13,-281.25,-0.19,3606.25,36.06,78
79,Salida en corto,2026-06-11 12:00,Scripted Exit All,1.1516,1,144193.75,243.75,0.17,256.25,0.18,-112.5,-0.08,3850,38.50,45
79,Entrada en corto,2026-06-11 08:15,Scripted Short,1.15355,1,144193.75,243.75,0.17,256.25,0.18,-112.5,-0.08,3850,38.50,45
80,Salida en largo,2026-06-15 01:15,Scripted Exit All,1.1662,1,145331.25,443.75,0.31,475,0.33,-300,-0.21,4293.75,42.94,239
80,Entrada en largo,2026-06-12 04:20,Scripted Long,1.16265,1,145331.25,443.75,0.31,475,0.33,-300,-0.21,4293.75,42.94,239
81,Salida en largo,2026-06-16 00:05,Scripted Short,1.1626,1,145656.25,-331.25,-0.23,131.25,0.09,-350,-0.24,3962.5,39.63,209
81,Entrada en largo,2026-06-15 05:40,Scripted Long,1.16525,1,145656.25,-331.25,-0.23,131.25,0.09,-350,-0.24,3962.5,39.63,209
82,Salida en corto,2026-06-16 01:15,Scripted Exit All,1.16195,1,145325,81.25,0.06,100,0.07,0,0.00,4043.75,40.44,14
82,Entrada en corto,2026-06-16 00:05,Scripted Short,1.1626,1,145325,81.25,0.06,100,0.07,0,0.00,4043.75,40.44,14
83,Salida en largo,2026-06-18 21:40,Scripted Short,1.1499,1,145612.5,-1875,-1.29,156.25,0.11,-1962.5,-1.35,2168.75,21.69,725
83,Entrada en largo,2026-06-16 06:15,Scripted Long,1.1649,1,145612.5,-1875,-1.29,156.25,0.11,-1962.5,-1.35,2168.75,21.69,725
84,Salida en corto,2026-06-18 22:20,Scripted Exit All,1.14935,1,143737.5,68.75,0.05,87.5,0.06,-6.25,0.00,2237.5,22.38,8
84,Entrada en corto,2026-06-18 21:40,Scripted Short,1.1499,1,143737.5,68.75,0.05,87.5,0.06,-6.25,0.00,2237.5,22.38,8
85,Salida en largo,2026-06-23 10:00,Scripted Short,1.14295,1,143806.25,-937.5,-0.65,150,0.10,-1031.25,-0.72,1300,13.00,539
85,Entrada en largo,2026-06-19 07:05,Scripted Long,1.15045,1,143806.25,-937.5,-0.65,150,0.10,-1031.25,-0.72,1300,13.00,539
86,Salida en corto,2026-06-23 10:35,Scripted Exit All,1.14185,1,142868.75,137.5,0.10,212.5,0.15,-18.75,-0.01,1437.5,14.37,7
86,Entrada en corto,2026-06-23 10:00,Scripted Short,1.14295,1,142868.75,137.5,0.10,212.5,0.15,-18.75,-0.01,1437.5,14.37,7
87,Salida en corto,2026-06-23 21:20,Scripted Exit All,1.14125,1,142725,68.75,0.05,93.75,0.07,-43.75,-0.03,1506.25,15.06,16
87,Entrada en corto,2026-06-23 20:00,Scripted Short,1.1418,1,142725,68.75,0.05,93.75,0.07,-43.75,-0.03,1506.25,15.06,16
88,Salida en largo,2026-06-24 21:20,Scripted Exit All,1.1404,1,142468.75,81.25,0.06,87.5,0.06,-150,-0.11,1587.5,15.88,63
88,Entrada en largo,2026-06-24 15:05,Scripted Long,1.13975,1,142468.75,81.25,0.06,87.5,0.06,-150,-0.11,1587.5,15.88,63
89,Salida en corto,2026-06-26 03:35,Scripted Long,1.14175,1,142475,-243.75,-0.17,81.25,0.06,-268.75,-0.19,1343.75,13.44,72
89,Entrada en corto,2026-06-25 21:35,Scripted Short,1.1398,1,142475,-243.75,-0.17,81.25,0.06,-268.75,-0.19,1343.75,13.44,72
90,Salida en largo,2026-06-26 04:20,Scripted Exit All,1.14345,1,142718.75,212.5,0.15,250,0.18,0,0.00,1556.25,15.56,9
90,Entrada en largo,2026-06-26 03:35,Scripted Long,1.14175,1,142718.75,212.5,0.15,250,0.18,0,0.00,1556.25,15.56,9
91,Salida en largo,2026-06-29 10:35,Scripted Exit All,1.1455,1,143075,112.5,0.08,137.5,0.10,-112.5,-0.08,1668.75,16.69,31
91,Entrada en largo,2026-06-29 08:00,Scripted Long,1.1446,1,143075,112.5,0.08,137.5,0.10,-112.5,-0.08,1668.75,16.69,31
92,Salida en largo,2026-06-30 22:35,Scripted Short,1.1439,1,143287.5,-300,-0.21,118.75,0.08,-556.25,-0.39,1368.75,13.69,345
92,Entrada en largo,2026-06-29 15:50,Scripted Long,1.1463,1,143287.5,-300,-0.21,118.75,0.08,-556.25,-0.39,1368.75,13.69,345
93,Salida en corto,2026-07-01 03:25,Scripted Exit All,1.143,1,142987.5,112.5,0.08,118.75,0.08,-100,-0.07,1481.25,14.81,58
93,Entrada en corto,2026-06-30 22:35,Scripted Short,1.1439,1,142987.5,112.5,0.08,118.75,0.08,-100,-0.07,1481.25,14.81,58
94,Salida en corto,2026-07-02 07:20,Scripted Long,1.14485,1,142650,-456.25,-0.32,43.75,0.03,-543.75,-0.38,1025,10.25,132
94,Entrada en corto,2026-07-01 20:20,Scripted Short,1.1412,1,142650,-456.25,-0.32,43.75,0.03,-543.75,-0.38,1025,10.25,132
95,Salida en largo,2026-07-02 21:25,Scripted Exit All,1.1477,1,143106.25,356.25,0.25,725,0.51,-237.5,-0.17,1381.25,13.81,157
95,Entrada en largo,2026-07-02 07:20,Scripted Long,1.14485,1,143106.25,356.25,0.25,725,0.51,-237.5,-0.17,1381.25,13.81,157
96,Salida en corto,2026-07-07 11:30,Apertura,1.14615,1,143081.25,-187.5,-0.13,62.5,0.04,-425,-0.30,1193.75,11.94,309
96,Entrada en corto,2026-07-06 08:45,Scripted Short,1.14465,1,143081.25,-187.5,-0.13,62.5,0.04,-425,-0.30,1193.75,11.94,309
