Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
32,Salida en corto,2026-05-19 14:50,Scripted Exit All,0.0063015,1,78856.25,87.5,0.11,87.5,0.11,-43.75,-0.06,1531.25,15.31,15
32,Entrada en corto,2026-05-19 13:35,Scripted Short,0.0063085,1,78856.25,87.5,0.11,87.5,0.11,-43.75,-0.06,1531.25,15.31,15
33,Salida en corto,2026-05-20 10:10,Scripted Exit All,0.0062965,1,78768.75,62.5,0.08,68.75,0.09,-31.25,-0.04,1593.75,15.94,37
33,Entrada en corto,2026-05-20 07:05,Scripted Short,0.0063015,1,78768.75,62.5,0.08,68.75,0.09,-31.25,-0.04,1593.75,15.94,37
34,Salida en corto,2026-05-21 06:45,Scripted Exit All,0.006297,1,78762.5,50,0.06,68.75,0.09,0,0.00,1643.75,16.44,4
34,Entrada en corto,2026-05-21 06:25,Scripted Short,0.006301,1,78762.5,50,0.06,68.75,0.09,0,0.00,1643.75,16.44,4
35,Salida en corto,2026-05-22 03:05,Scripted Exit All,0.006296,1,78781.25,81.25,0.10,93.75,0.12,-43.75,-0.06,1725,17.25,144
35,Entrada en corto,2026-05-21 14:05,Scripted Short,0.0063025,1,78781.25,81.25,0.10,93.75,0.12,-43.75,-0.06,1725,17.25,144
36,Salida en corto,2026-05-22 16:55,Scripted Exit All,0.006293,1,78681.25,18.75,0.02,18.75,0.02,-31.25,-0.04,1743.75,17.44,29
36,Entrada en corto,2026-05-22 14:30,Scripted Short,0.0062945,1,78681.25,18.75,0.02,18.75,0.02,-31.25,-0.04,1743.75,17.44,29
37,Salida en corto,2026-05-25 19:40,Scripted Exit All,0.0063015,1,78787.5,18.75,0.02,25,0.03,-31.25,-0.04,1762.5,17.63,144
37,Entrada en corto,2026-05-25 06:30,Scripted Short,0.006303,1,78787.5,18.75,0.02,25,0.03,-31.25,-0.04,1762.5,17.63,144
38,Salida en corto,2026-05-26 01:55,Scripted Exit All,0.0062985,1,78768.75,37.5,0.05,50,0.06,0,0.00,1800,18.00,13
38,Entrada en corto,2026-05-26 00:50,Scripted Short,0.0063015,1,78768.75,37.5,0.05,50,0.06,0,0.00,1800,18.00,13
39,Salida en corto,2026-05-26 07:55,Scripted Exit All,0.006292,1,78675,25,0.03,37.5,0.05,0,0.00,1825,18.25,8
39,Entrada en corto,2026-05-26 07:15,Scripted Short,0.006294,1,78675,25,0.03,37.5,0.05,0,0.00,1825,18.25,8
40,Salida en corto,2026-06-01 09:30,Scripted Exit All,0.0062695,1,78475,106.25,0.14,112.5,0.14,-193.75,-0.25,1931.25,19.31,624
40,Entrada en corto,2026-05-28 03:30,Scripted Short,0.006278,1,78475,106.25,0.14,112.5,0.14,-193.75,-0.25,1931.25,19.31,624
41,Salida en corto,2026-06-01 20:35,Scripted Exit All,0.0062695,1,78387.5,18.75,0.02,25,0.03,0,0.00,1950,19.50,8
41,Entrada en corto,2026-06-01 19:55,Scripted Short,0.006271,1,78387.5,18.75,0.02,25,0.03,0,0.00,1950,19.50,8
42,Salida en corto,2026-06-02 08:05,Scripted Exit All,0.006267,1,78350,12.5,0.02,25,0.03,-6.25,-0.01,1962.5,19.63,43
42,Entrada en corto,2026-06-02 04:30,Scripted Short,0.006268,1,78350,12.5,0.02,25,0.03,-6.25,-0.01,1962.5,19.63,43
